track_name,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,image_url
MILLION DOLLAR BABY,Tommy Richman,3,2024,4,26,"30,716",92.0,"390,470,936",210.0,,62.0,"17,598,718","2,669,262",144,1,0,60,47,49,79,37,14,76,https://i.scdn.co/image/ab67616d0000b27301c0cd5da820e6128655854f
Not Like Us,Kendrick Lamar,4,2024,5,4,"28,113",92.0,"323,703,884",188.0,,67.0,"10,422,430","1,118,279",121,6,1,86,63,38,25,3,89,48,https://i.scdn.co/image/ab67616d0000b2731ea0c62b2339cbf493a999ad
i like the way you kiss me,Artemas,1,2024,3,19,"54,331",92.0,"601,309,283",190.0,,136.0,"36,321,847","5,285,340",165,8,0,52,49,36,37,78,87,41,https://i.scdn.co/image/ab67616d0000b273e67611dbbf69a90d0b6cb738
Flowers,Miley Cyrus,3,2023,1,12,"269,802",85.0,"2,031,280,633",394.0,,264.0,"24,684,248","11,822,942",166,10,0,24,84,62,39,16,82,43,https://i.scdn.co/image/ab67616d0000b273cd222052a2594be29a6616b5
Houdini,Eminem,3,2024,5,31,"7,223",88.0,"107,034,922",182.0,,82.0,"17,660,624","457,017",113,1,1,61,40,60,24,36,19,0,https://i.scdn.co/image/ab67616d0000b273810603c94c9246379604cf1a
Lovin On Me,Jack Harlow,4,2023,11,10,"105,892",83.0,"670,665,438",138.0,,86.0,"17,167,254","4,517,131",185,6,0,3,71,84,98,87,72,6,https://i.scdn.co/image/ab67616d0000b273fcf4adae77baba5d0169e8e8
Beautiful Things,Benson Boone,1,2024,1,18,"73,118",86.0,"900,158,751",280.0,,168.0,"48,197,850","9,990,302",68,3,0,93,21,91,68,35,91,47,https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40
Gata Only,FloyyMenor,1,2024,2,2,"40,094",92.0,"675,079,153",160.0,,87.0,"33,245,595","6,063,523",147,10,0,93,53,37,70,57,15,84,https://i.scdn.co/image/ab67616d0000b273c4583f3ad76630879a75450a
Danza Kuduro - Cover,MUSIC LAB JPN,3,2024,6,9,1,,"1,653,018,119",,,,,,96,1,0,12,4,32,22,40,74,15,https://i.scdn.co/image/ab67616d0000b27394bee5f21786e2772968601d
BAND4BAND (feat. Lil Baby),Central Cee,2,2024,5,23,"10,400",86.0,"90,676,573",191.0,,78.0,"10,800,098","666,302",108,6,1,41,16,74,88,7,97,47,https://i.scdn.co/image/ab67616d0000b2737b588bf0555bde606f8b27c7
I Had Some Help (feat. Morgan Wallen),Post Malone,3,2024,5,10,"16,219",91.0,"250,080,413",157.0,,60.0,"12,009,073","963,413",100,4,0,48,100,44,64,66,24,77,https://i.scdn.co/image/ab67616d0000b27397306976e3eb8aad53b754eb
The Door,Teddy Swims,3,2024,6,14,2,,"111,155,129",,,,,,76,0,0,77,77,43,21,29,56,42,https://i.scdn.co/image/ab67616d0000b2731a0323cc23419360a34a3ace
LUNCH,Billie Eilish,3,2024,5,17,"13,800",92.0,"221,636,195",244.0,,138.0,"38,243,636","450,344",147,4,1,55,40,0,63,85,20,50,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62
Like That,Future,3,2024,3,22,"43,025",88.0,"355,186,436",153.0,,55.0,"3,001,826","1,963,314",80,11,1,46,91,52,67,51,4,65,https://i.scdn.co/image/ab67616d0000b273a46b07c291e6dfdee13b3ee8
bathroom floor,Kids With Buns,4,2022,10,7,277,12.0,"297,185",1.0,,,,"3,288",110,11,1,7,94,46,57,96,74,30,https://i.scdn.co/image/ab67616d0000b273aed91e9b0198ed6ff3326ad8
LALA,Myke Towers,1,2023,3,22,"103,605",79.0,"925,655,569",94.0,,60.0,"5,633,435","2,765,808",118,2,0,54,80,32,27,24,8,38,https://i.scdn.co/image/ab67616d0000b2730656d5ce813ca3cc4b677e05
Fortnight (feat. Post Malone),Taylor Swift,4,2024,4,18,"12,784",89.0,"395,433,400",221.0,,99.0,"37,988,531","1,210,029",100,6,0,87,34,66,77,51,10,8,https://i.scdn.co/image/ab67616d0000b2735076e4160d018e378f488c33
