N,P,K,ph,crop
90,42,43,6.502985292000001,rice
85,58,41,7.038096361,rice
60,55,44,7.840207144,rice
74,35,40,6.980400905,rice
78,42,42,7.628472891,rice
69,37,42,7.073453503,rice
69,55,38,5.70080568,rice
94,53,40,5.718627177999999,rice
89,54,38,6.685346424,rice
68,58,38,6.336253525,rice
91,53,40,5.386167788,rice
90,46,42,7.50283396,rice
78,58,44,5.108681786,rice
93,56,36,6.98435366,rice
94,50,37,6.94801983,rice
60,48,39,7.042299068999999,rice
85,38,41,6.2490506560000005,rice
91,35,39,6.970859754,rice
77,38,36,5.953933276,rice
88,35,40,5.85393208,rice
89,45,36,6.442475375,rice
76,40,43,5.070175667,rice
67,59,41,6.012632591,rice
83,41,43,6.254028451,rice
98,47,37,7.375482851,rice
66,53,41,7.778915154,rice
97,59,43,6.2865001760000006,rice
97,50,41,7.070959995,rice
60,49,44,6.244841491,rice
84,51,35,6.043304899,rice
73,57,41,5.824709117,rice
92,35,40,6.3573893660000005,rice
85,37,39,6.364134967999999,rice
98,53,38,5.01450727,rice
88,54,44,6.149410611,rice
95,55,42,5.950660556,rice
99,57,35,5.960370061,rice
95,39,36,5.561398642,rice
60,43,44,7.416245107000001,rice
63,44,41,5.583370042,rice
62,42,36,6.430010215,rice
64,45,43,5.534878156,rice
83,60,36,6.903985986,rice
82,40,40,6.271478837999999,rice
85,52,45,7.224285503,rice
91,35,38,6.13428721,rice
76,49,42,5.206373153,rice
74,39,38,7.782051312999999,rice
79,43,39,7.062779015,rice
88,55,45,7.730367824,rice
60,36,43,5.286203711000001,rice
76,60,39,6.766240045,rice
93,56,42,7.382762603,rice
65,60,43,5.658169482000001,rice
95,52,36,5.543360237999999,rice
75,38,39,6.215109715,rice
74,54,38,7.120272972,rice
91,36,45,5.950647577000001,rice
71,46,40,7.236705436,rice
99,55,35,6.501697816,rice
72,40,38,7.592490617,rice
83,58,45,5.875345751,rice
93,58,38,6.932400225,rice
70,36,42,6.9462098810000015,rice
76,47,42,5.739175027000001,rice
99,41,36,6.738652179,rice
99,54,37,5.5948196260000005,rice
86,59,35,6.946636369,rice
69,46,41,5.012139669,rice
91,56,37,6.363472207999999,rice
61,52,41,6.880431223,rice
67,45,38,7.300410836,rice
79,42,37,6.587918707999999,rice
78,43,42,7.283736617000001,rice
75,54,36,7.023936392,rice
97,36,45,6.939083505,rice
67,47,44,7.868474653,rice
73,35,38,5.005306977,rice
77,36,37,6.136131869,rice
81,41,38,7.5240800760000015,rice
68,57,43,5.706943251,rice
72,45,35,5.758506323,rice
61,53,43,6.349606327,rice
67,43,39,5.9999690260000005,rice
67,58,39,5.453592032,rice
66,60,38,6.372576327000001,rice
82,43,38,5.105588355,rice
84,50,44,5.9353444060000005,rice
81,53,42,5.17782304,rice
91,50,40,6.462391607000001,rice
93,53,38,7.069172227,rice
90,44,38,7.473134377,rice
81,45,35,6.158376967000001,rice
78,40,38,7.549873681,rice
60,51,36,6.028321557999999,rice
88,46,42,6.604993475,rice
93,47,37,6.500343222000001,rice
60,55,45,5.935745417000001,rice
78,35,44,7.072655622,rice
65,37,40,5.333322606,rice
71,54,16,5.7499144210000015,maize
61,44,17,6.931756557999999,maize
80,43,16,6.657964753,maize
73,58,21,6.596060648,maize
61,38,20,5.970458434,maize
68,41,16,6.158830619,maize
93,41,17,6.047906679,maize
89,60,19,5.913664501,maize
76,44,17,5.855442401,maize
67,60,25,5.750254943,maize
70,44,19,5.852607099,maize
90,49,21,6.4725232870000005,maize
62,52,16,6.9670577620000005,maize
92,44,16,6.082973754,maize
66,54,21,5.919045532,maize
63,58,22,6.204747652999999,maize
70,47,17,6.600827017,maize
61,41,17,6.021902237000001,maize
66,53,19,6.033550195,maize
74,55,19,6.28886807,maize
77,57,21,6.550563822999999,maize
99,50,15,5.573286437,maize
74,56,22,6.829199275,maize
83,45,21,5.716222912,maize
100,48,16,5.54990242,maize
79,51,16,6.586244581,maize
94,39,18,5.893093135,maize
75,49,15,5.918263801,maize
78,48,22,5.588650585,maize
87,54,20,6.576418207000001,maize
87,35,25,6.178056304,maize
63,43,19,6.641906353,maize
84,57,25,6.489040367,maize
64,35,23,5.680361037999999,maize
60,46,22,6.625404347999999,maize
98,44,21,6.524478032,maize
75,56,18,5.696205468,maize
86,55,21,6.803931519,maize
98,35,18,6.252797547999999,maize
76,57,18,6.092725883,maize
99,56,17,6.234330356,maize
60,44,23,5.722579819,maize
74,48,17,6.430616465,maize
89,60,17,5.983952675,maize
69,51,23,6.80163854,maize
96,46,22,6.499936446,maize
61,60,15,6.265564338,maize
74,58,18,6.727303282,maize
74,43,23,6.325235159,maize
63,43,17,6.807487794,maize
99,36,20,6.671085817000001,maize
77,36,23,6.648725327,maize
87,60,23,6.439071996,maize
60,38,17,6.474476516,maize
94,54,17,5.871647806,maize
95,38,22,5.730617109,maize
84,44,21,5.850439831,maize
77,58,19,5.791649933,maize
66,44,20,6.740000687999999,maize
63,35,16,6.272417541,maize
79,45,20,5.715208817000001,maize
72,60,25,5.773454729,maize
67,51,24,5.584171461,maize
86,36,24,5.787268394,maize
76,48,18,5.77597783,maize
75,53,18,6.864793607,maize
81,45,23,6.192360002999999,maize
73,45,21,6.636803222999999,maize
71,35,24,5.826426917,maize
96,54,22,6.960358276,maize
99,39,18,6.11275104,maize
62,48,20,6.708446922,maize
86,37,16,5.561510732,maize
94,50,19,5.873242491,maize
76,39,24,6.995843776,maize
77,52,17,5.714799723,maize
74,39,23,6.78073637,maize
81,49,20,5.513697923,maize
63,42,21,5.798423907999999,maize
99,38,21,6.352471866,maize
90,52,25,6.822586546,maize
68,40,19,6.655426355,maize
60,57,24,6.1212940410000005,maize
71,52,18,5.790770202999999,maize
61,59,17,6.47444292,maize
88,38,15,6.455116637000001,maize
65,60,22,6.6069840860000015,maize
78,37,22,6.330554389,maize
78,58,15,6.5286312660000005,maize
92,60,23,5.721667141,maize
79,59,17,6.644205485,maize
91,55,15,6.376651091,maize
76,51,18,6.247040422,maize
87,48,25,6.656730007999999,maize
71,60,22,6.2048017,maize
90,57,24,6.158860284,maize
67,35,22,6.385684213999999,maize
60,54,19,6.417820493,maize
83,58,23,6.381201909,maize
83,57,19,6.877869005,maize
133,47,24,7.231324765,cotton
136,36,20,6.925412377000001,cotton
104,47,18,7.633437412,cotton
133,47,23,6.827354668,cotton
126,38,23,6.176716425,cotton
126,50,19,6.6287228360000015,cotton
113,41,20,7.256877571,cotton
121,45,22,6.443785385,cotton
121,47,16,7.7232401510000015,cotton
129,60,22,5.947448589,cotton
107,45,25,7.2277455160000015,cotton
122,59,18,6.219469084,cotton
140,38,15,6.021439523,cotton
102,49,21,6.253343655,cotton
111,40,25,6.187455798999999,cotton
131,35,18,7.0576933660000005,cotton
135,43,16,6.720449769,cotton
100,46,18,6.4316895060000006,cotton
123,39,24,7.453106264,cotton
117,56,15,7.368258226,cotton
121,36,24,7.352401887,cotton
101,58,18,6.652143699,cotton
107,42,24,6.144631795,cotton
100,41,22,7.318802162000001,cotton
125,39,21,7.954629324,cotton
105,60,23,6.207652157,cotton
102,46,19,6.631005298,cotton
131,49,22,7.306918817000001,cotton
139,35,15,5.898293044,cotton
108,36,19,7.238566893,cotton
118,45,23,7.977651226,cotton
107,51,22,5.983075895,cotton
125,60,17,6.785723961,cotton
113,37,20,7.393441155,cotton
131,52,16,6.486068274,cotton
115,48,16,7.175934962,cotton
113,38,25,7.388265887999999,cotton
111,41,18,6.10539819,cotton
111,53,19,6.419536555,cotton
122,48,16,6.307585854,cotton
108,46,17,6.93221485,cotton
132,41,22,7.810865753,cotton
103,42,17,6.527541661,cotton
133,50,25,7.569454601,cotton
127,37,18,7.041065585,cotton
110,39,25,7.208795456,cotton
131,38,19,6.814341946,cotton
108,38,24,7.442217061,cotton
122,40,17,6.854558957,cotton
111,50,15,7.884550475,cotton
140,40,17,6.006085786,cotton
100,40,20,7.432043735,cotton
123,50,16,6.498052108,cotton
107,36,21,6.205263534,cotton
118,50,19,6.360812227,cotton
103,51,20,7.0466074339999984,cotton
133,57,19,7.947011366,cotton
129,47,20,6.281913857999999,cotton
116,52,19,6.114525877,cotton
114,40,23,6.7539780610000015,cotton
131,60,17,7.4250413160000015,cotton
107,43,18,6.745104394,cotton
123,44,21,7.6411165689999985,cotton
112,49,25,6.470135478,cotton
119,44,15,7.091992365,cotton
130,59,19,6.520403794,cotton
127,53,24,6.127939627999999,cotton
134,52,18,7.994679507000001,cotton
109,36,18,7.524707577,cotton
